강원도 강릉시 교동	140-16	140	16	강릉역 블루핀	월세	22	202204	20	300	50	13	2020	강릉대로 285	-	-	-
세종특별자치시 어진동	null	0	0	2차푸르지오시티	월세	21.92	202204	4	500	45	13	2014	 	-	-	-
세종특별자치시 어진동	null	0	0	2차푸르지오시티	월세	21.92	202204	5	500	45	6	2014	 	-	-	-
세종특별자치시 어진동	null	0	0	2차푸르지오시티	전세	23.24	202204	7	"10,000"	0	11	2014	 	-	-	-
세종특별자치시 어진동	null	0	0	2차푸르지오시티	월세	23.24	202204	8	500	50	16	2014	 	-	-	-
세종특별자치시 어진동	null	0	0	2차푸르지오시티	월세	21.92	202204	12	500	50	16	2014	 	-	-	-
세종특별자치시 어진동	null	0	0	2차푸르지오시티	월세	23.24	202204	13	500	55	9	2014	 	-	-	-
세종특별자치시 어진동	null	0	0	2차푸르지오시티	월세	21.92	202204	13	500	45	5	2014	 	-	-	-
세종특별자치시 어진동	null	0	0	2차푸르지오시티	전세	21.92	202204	16	"9,500"	0	5	2014	 	-	-	-
세종특별자치시 어진동	null	0	0	2차푸르지오시티	월세	23.24	202204	17	500	50	6	2014	 	-	-	-
세종특별자치시 어진동	null	0	0	2차푸르지오시티	전세	21.92	202204	18	"9,900"	0	7	2014	 	-	-	-
세종특별자치시 어진동	null	0	0	2차푸르지오시티	전세	28.72	202204	20	"11,900"	0	15	2014	 	-	-	-
세종특별자치시 어진동	null	0	0	2차푸르지오시티	전세	21.92	202204	20	"9,500"	0	8	2014	 	-	-	-
세종특별자치시 어진동	null	0	0	2차푸르지오시티	전세	21.92	202204	23	"10,000"	0	9	2014	 	-	-	-
세종특별자치시 어진동	null	0	0	2차푸르지오시티	월세	23.24	202204	24	500	47	14	2014	 	-	-	-
세종특별자치시 어진동	null	0	0	2차푸르지오시티	월세	23.24	202204	24	500	47	14	2014	 	-	-	-
세종특별자치시 어진동	null	0	0	2차푸르지오시티	전세	21.92	202204	25	"9,300"	0	15	2014	 	-	-	-
세종특별자치시 어진동	null	0	0	2차푸르지오시티	월세	21.92	202204	27	500	55	12	2014	 	-	-	-
세종특별자치시 어진동	null	0	0	2차푸르지오시티	전세	21.92	202204	30	"9,300"	0	11	2014	 	-	-	-
경기도 고양덕양구 원흥동	627	627	0	3호선 원흥역 봄오피스텔	월세	23.76	202204	1	500	56	18	2018	권율대로 672	-	-	-
경기도 고양덕양구 원흥동	627	627	0	3호선 원흥역 봄오피스텔	월세	23.76	202204	5	"1,000"	55	17	2018	권율대로 672	-	-	-
경기도 고양덕양구 원흥동	627	627	0	3호선 원흥역 봄오피스텔	전세	39.84	202204	7	"23,000"	0	20	2018	권율대로 672	-	-	-
경기도 고양덕양구 원흥동	627	627	0	3호선 원흥역 봄오피스텔	월세	23.76	202204	8	500	55	9	2018	권율대로 672	-	-	-
경기도 고양덕양구 원흥동	627	627	0	3호선 원흥역 봄오피스텔	전세	23.76	202204	13	"14,000"	0	16	2018	권율대로 672	-	-	-
경기도 고양덕양구 원흥동	627	627	0	3호선 원흥역 봄오피스텔	월세	23.76	202204	16	"1,000"	56	17	2018	권율대로 672	-	-	-
경기도 고양덕양구 원흥동	627	627	0	3호선 원흥역 봄오피스텔	월세	42.97	202204	18	"10,000"	41	14	2018	권율대로 672	-	-	-
경기도 고양덕양구 원흥동	627	627	0	3호선 원흥역 봄오피스텔	전세	23.76	202204	25	"12,000"	0	7	2018	권율대로 672	-	-	-
경기도 고양덕양구 원흥동	627	627	0	3호선 원흥역 봄오피스텔	월세	23.76	202204	28	500	60	17	2018	권율대로 672	-	-	-
경기도 고양덕양구 원흥동	627	627	0	3호선 원흥역 봄오피스텔	월세	23.76	202204	29	"1,000"	49	14	2018	권율대로 672	-	-	-
서울특별시 서대문구 창천동	112-23	112	23	ATELIER MOKEN	월세	12.88	202204	4	"2,000"	85	3	2021	신촌로 53	-	-	-
서울특별시 강남구 역삼동	832-16	832	16	BIEL 106	월세	21.39	202204	1	"4,000"	83	13	2018	역삼로 106	-	-	-
서울특별시 강남구 역삼동	832-16	832	16	BIEL 106	월세	21.39	202204	6	"1,000"	95	13	2018	역삼로 106	-	-	-
서울특별시 강남구 역삼동	832-16	832	16	BIEL 106	월세	28.87	202204	15	"2,000"	130	13	2018	역삼로 106	-	-	-
